groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,Avg.Norm.Latency
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,4,1.16266936518
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,5,1.16439697045
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,6,1.14159877301
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,7,1.09630260807
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,8,1.16119685649
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,9,1.1659424597
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,10,1.09644733524
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,11,1.15186676347
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,12,1.14598405412
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,13,1.14615180082
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,14,1.14364949272
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,15,1.12271270804
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,16,1.12865088067
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,17,1.19971029086
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,18,1.14930847416
17,4,4,75,stencil,0,2,random,1,dflyrdg,topo,easy,adaptive,1.0,19,1.10468768768
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,0,1.38445980719
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,1,1.41997942093
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,2,1.39109379956
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,3,1.41399350356
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,4,1.3470269455
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,5,1.37971060135
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,6,1.38438132136
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,7,1.37884203913
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,8,1.37054743054
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,9,1.39443116723
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,10,1.41532802411
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,11,1.42929962385
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,12,1.39033117868
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,13,1.39081588356
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,14,1.43912258949
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,15,1.45151224968
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,16,1.31370870333
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,17,1.36878655148
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,18,1.42210324201
17,4,4,75,stencil,0,2,random,1,dflyrrn,topo,easy,adaptive,1.0,19,1.43379338879
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,0,1.16959352514
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,1,1.1265121396
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,2,1.14974423894
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,3,1.13050635664
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,4,1.1683219178
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,5,1.11491490196
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,6,1.17660465196
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,7,1.13639684405
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,8,1.14170107735
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,9,1.12978456874
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,10,1.13572138783
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,11,1.14768245676
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,12,1.15700889762
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,13,1.13317608388
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,14,1.17329469661
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,15,1.14896978851
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,16,1.15127284038
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,17,1.14044211662
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,18,1.17154803348
17,4,4,75,stencil,0,2,random,1,dflyrrr,topo,easy,adaptive,1.0,19,1.14715922786
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,0,1.14532950565
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,1,1.13886801821
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,2,1.15379352556
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,3,1.15965179196
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,4,1.15222260642
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,5,1.12612524273
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,6,1.14949116934
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,7,1.17258966535
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,8,1.14105090244
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,9,1.17745478325
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,10,1.15426501145
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,11,1.13359432191
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,12,1.14404642836
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,13,1.14071205668
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,14,1.14623040696
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,15,1.14354713839
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,16,1.12637115995
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,17,1.16315733512
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,18,1.15355207123
17,4,4,75,stencil,0,2,random,1,dflyslurm,topo,easy,adaptive,1.0,19,1.1381922798
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,0,1.09599733133
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,1,1.07402783635
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,2,1.0822481721
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,3,1.07394298622
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,4,1.0746485261
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,5,1.08693686355
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,6,1.09300600003
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,7,1.10492681552
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,8,1.07850085125
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,9,1.09922630154
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,10,1.10399417131
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,11,1.10519611426
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,12,1.06691063645
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,13,1.07953819218
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,14,1.06478415318
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,15,1.08397864276
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,16,1.08128774299
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,17,1.09384490046
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,18,1.09082475658
17,4,4,75,stencil,0,2,random,1,dflyhybrid,topo,easy,adaptive,1.0,19,1.09887755729
17,4,4,75,stencil,0,2,random,2,simple,topo,easy,adaptive,1.0,0,1.34639060354
17,4,4,75,stencil,0,2,random,2,simple,topo,easy,adaptive,1.0,1,1.35481492032
