groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,time(us)
17,4,4,all,stencil,100000,2,analyzeEmpty,8,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,100000,2,analyzeEmpty,16,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,100000,2,analyzeEmpty,17,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,32,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,64,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,2,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,128,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,4,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,5,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,136,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,8,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,16,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,1,analyzeEmpty,17,all,all,all,adaptive,1.0,all,
17,4,4,all,stencil,0,2,analyzeEmpty,32,all,all,all,adaptive,1.0,all,3745.0
17,4,4,all,stencil,0,2,analyzeEmpty,64,all,all,all,adaptive,1.0,all,4088.0
17,4,4,all,stencil,0,2,analyzeEmpty,2,all,all,all,adaptive,1.0,all,2789.0
17,4,4,all,stencil,0,2,analyzeEmpty,128,all,all,all,adaptive,1.0,all,4649.0
17,4,4,all,stencil,0,2,analyzeEmpty,4,all,all,all,adaptive,1.0,all,2968.0
17,4,4,all,stencil,0,2,analyzeEmpty,5,all,all,all,adaptive,1.0,all,3052.0
17,4,4,all,stencil,0,2,analyzeEmpty,136,all,all,all,adaptive,1.0,all,4321.0
17,4,4,all,stencil,0,2,analyzeEmpty,8,all,all,all,adaptive,1.0,all,3176.0
17,4,4,all,stencil,0,2,analyzeEmpty,16,all,all,all,adaptive,1.0,all,3381.0
17,4,4,all,stencil,0,2,analyzeEmpty,17,all,all,all,adaptive,1.0,all,3057.0
