groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,Avg.Norm.Latency
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,15,2.43623617045
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,16,2.52921459086
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,17,2.41577390733
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,18,2.4180085442
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,19,2.2398072078
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,0,2.38085222916
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,1,2.30162120714
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,2,2.4696790448
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,3,2.06369810494
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,4,2.21975024647
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,5,2.32111950926
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,6,2.24717931865
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,7,2.23515171432
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,8,2.19281410888
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,9,2.18204622631
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,10,2.32536970095
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,11,2.36562602695
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,12,2.40278234199
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,13,2.39833497645
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,14,2.27995399277
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,15,2.4895826487
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,16,2.47728119181
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,17,2.13439588126
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,18,2.24848285683
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,19,2.29344944682
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,0,2.39284697119
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,1,2.11174279768
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,2,2.29324131887
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,3,2.00038339358
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,4,2.2616277796
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,5,2.29023989484
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,6,1.98855296308
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,7,2.31248767663
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,8,2.10226749918
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,9,2.33632380326
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,10,2.13755066272
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,11,2.13734253478
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,12,2.2004710264
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,13,2.16591083361
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,14,2.21662832731
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,15,1.9924088071
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,16,2.35088180524
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,17,2.40589330704
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,18,2.53284039873
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,4.0,19,2.37613101106
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,0,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,1,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,2,1.0
